Name,Pillar,Status,Publication Date,Format,Inspo,Intensity,Funnel,New Followers,Total views,Views follower %,Views non-follower %,Platform,Link to post,7x7 Creator,CTA,Duration,Media reqd,Hook,QA'd,Script & Caption,Skip rate,Avg watch time (s),Notes,Likes,Comments,Music,Shares
what if i have no one to go with?,Mindset,Live,"February 20, 2026","Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21), Relatable/Entertainment (https://www.notion.so/Relatable-Entertainment-3105e3769cad805d82fdc631584da316?pvs=21)",,Low,Attract,,302,,,Instagram,https://www.instagram.com/gabby.elyse_/reel/DVAIqB5kZzI/,,"Follow if you’re building your life, even if you’re building it on your own terms ✨",15,,what if i have no one go to with?,No,"what if i have no one go to with?

go alone.",43.9%,6,,21,2,https://www.instagram.com/reels/audio/915005211038774/?e=64191a24-9157-4d51-b075-10a192d566f7&g=5 https://www.instagram.com/reels/audio/915005211038774/?e=b126dd36-1f85-4b4e-9bcf-a36887e836b2&g=5,
Oct 2025 vs Feb 2026 - me thinking i don’t need cardio to see results,Lifestyle,Live,"February 19, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),,Low,Nurture,2,2747,7.7%,92.3%,Instagram,https://www.instagram.com/gabby.elyse_/reel/DU7VZSKDvRi/,,,7,,"October 2025
Me thinking i don’t need cardio to see results",No,,28%,6,"template used

11 saves",28,2,"the porsche engineers knew exactly - jaredthatkong https://www.instagram.com/reels/audio/659939986887515/?e=b09100f6-c4bf-4f2a-bb8b-e3dde44df12f&g=5 ",2
nobody is stressed more than the girl in her 30s who feels behind,Mindset,Live,"February 19, 2026","Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21), Relatable/Entertainment (https://www.notion.so/Relatable-Entertainment-3105e3769cad805d82fdc631584da316?pvs=21)",,Low,Attract,1,2826,4%,96%,Instagram,https://www.instagram.com/gabby.elyse_/reel/DU51MczDgre/,,,6,,Nobody is more stressed than a girl in her 30s thinking she’s running out of time,Yes,,33.6%,5,"24  saves

trending template used

dips below 51% at 4s",135,3,"natalia,vegaj original audio https://www.instagram.com/reels/audio/3083766395125469/?e=6a357d99-89ea-4c94-8f50-f8aaca5b488b&g=5",3
“how’s the content creation thing going?”,Skills,Live,"February 18, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),,Low,Attract,,1029,21.5%,78.5%,Instagram,https://www.instagram.com/gabby.elyse_/reel/DU6YRYggebB/,,"if this feels like you too, introduce yourself below! let’s connect.",8,,“how’s that content creation thing going??”,No,,34.8%,7,used the trending template verbtim,9,7,sravysphere - original audio https://www.instagram.com/reels/audio/26125513073768036/?e=a869deea-b193-4f99-b842-996f62f413d7&g=5,
position attempt - sucess in content has more to do with patterns,Skills,Live,"February 16, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),,Low,Convert,,527,23.8%,76.2%,Instagram,https://www.instagram.com/reel/DU1-3vcDt6x/?igsh=MWk0azVoaWpsa2c0ag==,,Comment CONTENT below to join the early list.,3,,Success in content has less to do with talent and more to do with studying the patterns.,No,,50%,4,,8,4,Firewalkbr original audio https://www.instagram.com/reels/audio/25420908284278400?igsh=MTViMWcxOTVneWttNg==,
nin - most people think concerts are about the music,Passion,Live,"February 15, 2026","Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21), Relatable/Entertainment (https://www.notion.so/Relatable-Entertainment-3105e3769cad805d82fdc631584da316?pvs=21)",,Low,Attract,,1079,8.3%,91.7%,Instagram,https://www.instagram.com/gabby.elyse_/reel/DUzeLmZDiPP/,,,17,,"Text/visual - Most people think concerts are about the music. But sometimes they’re about the people behind it.

Spoken - (reznor) “the older you get the more aware that time is fleeting…”",No,,38.4%,6,"the format, pillar, and funnel identificaiton is messier than it should be 

it could be lifestyle - or passion
from a technical (low int) this is attract
but the content is trying to do nurture (no cta)",16,1,,1
long distance - what do all these couples have in common?,Lifestyle,Live,"February 14, 2026","Relatable/Entertainment (https://www.notion.so/Relatable-Entertainment-3105e3769cad805d82fdc631584da316?pvs=21), Talking head (https://www.notion.so/Talking-head-3105e3769cad80c59436d446356f6e64?pvs=21)",,High,Attract,,497,,,Instagram,https://www.instagram.com/gabby.elyse_/reel/DUvayPUDT6p/,,"if you’re building something too, you’re in the right place",43,,spoken - “stop saying long distance doesn’t work”,Yes,,52.3%,10,"i would make my head smaller next time

green screen color filtering through",25,11,,
songs that prove we were spoiled in the 2000s,Passion,Live,"February 13, 2026",Relatable/Entertainment (https://www.notion.so/Relatable-Entertainment-3105e3769cad805d82fdc631584da316?pvs=21),i need to find it,High,Attract,,2258,5.3%,94.7%,Instagram,https://www.instagram.com/gabby.elyse_/reel/DUuCNFZDx6Z/,,"What song did I miss? 👇

and follow if this era raised you 🤍",53,,"spoken - most people call it old, i like to call it refined

visual hook - yellow and red outlined, unique font with strong contrast against compilation of familiar celeb faces
”songs that prove we were spoiled in the 2000s”",Yes,,41.3%,10,,55,7,compliation mix,4
age trend - embarassed to admit that..,Mindset,Live,"February 12, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),,Low,Attract,2,2930,4.6%,95.4%,Instagram,https://www.instagram.com/gabby.elyse_/reel/DUb-885D521/,,If you’re figuring things out later than you expected…. you’re not alone.,6,,I’m in my early 30s and i’m embarassed to admit that,No,,36.5%,9,asked questions on the content audit call on this one,21,4,the night we met - lord huron https://www.instagram.com/reels/audio/495072987594427/?e=c31f6314-ce65-4422-963a-b1b58951c5f2&g=5,
Every long distance couple this weekend,Lifestyle,Live,"February 12, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),,High,Position,,1515,7.9%,92.1%,Instagram,https://www.instagram.com/gabby.elyse_/reel/DUpgMXZDthQ/,,,10,,"“Every long distance couple this weekend:
Good morning (heart emoji)”",Yes,,74.4%,4,refer to content audit - short form review,15,,come and get your love by redbone,3
"most people think of success in headlines, watching brad arnold reminds us connection matters",Mindset,Live,"February 10, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),,Low,Attract,48,44846,1.9%,98.1%,"Facebook, Instagram",https://www.instagram.com/gabby.elyse_/reel/DUmgceqjhgJ/,,"If connection matters more to you than comparison, you’re welcome here. 🤍

Follow along.",12,,Most people think of success in headlines. Watching Brad Arnold reminds us that connection still matters.,Yes,,30.7%,9,"interesting, these brad arnold reels were sent to men more than women
likely because 3 doors down fits the “divorced dad rock” genre",4335,35,,93
“how can you grieve someone you never met”,Mindset,Live,"February 9, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),,Low,Nurture,,3491,6.6%,93.4%,Instagram,https://www.instagram.com/p/DUj8WoijpIE/,,,8,,“how can you grieve someone you’ve never met?”,Yes,"“how can you grieve someone yo’ve never met?”
grief isn’t about knowing them, it’s about what they meant to you ",34.2%,7,,206,11,Here Without You - 3 Doors Down (trending),8
"headlines are focusing on brad arnold’s passing, but missing moments he helped others",Passion,Live,"February 8, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),,Low,Attract,48,199089,1.5%,98.5%,Instagram,https://www.instagram.com/gabby.elyse_/reel/DUgK4HOEZlx/,,"If connection matters more to you than comparison, you’re welcome here. 🤍

Follow along.",21,,"headlines are focusing on Brad Arnold’s fight with cancer, but missing moments like this where he made people feel seen.",Yes,,22.1%,12,message: headlines /big media dehumanize celebrity death,18487,112,,555
why don’t celebrity deaths matter?,Lifestyle,Live,"February 7, 2026",Talking head (https://www.notion.so/Talking-head-3105e3769cad80c59436d446356f6e64?pvs=21),,High,Nurture,49,55684,1%,99%,"Facebook, Instagram",https://www.instagram.com/gabby.elyse_/reel/DUeyUUhDmpu/,,,40,,"spoken - “why is nobody talking about the celebrity who died today?”
text - why don’t celebrity deaths matter?",Yes,,22.9%,19,,4154,80,,217
“am i ready” “ill start anyway” split screen carousel,Mindset,Live,"February 5, 2026","Split Screen (https://www.notion.so/Split-Screen-2f35e3769cad8171bf1ccdef89ca350a?pvs=21), Relatable/Entertainment (https://www.notion.so/Relatable-Entertainment-3105e3769cad805d82fdc631584da316?pvs=21)",,Low,Attract,,461,87%,13%,Instagram,https://www.instagram.com/gabby.elyse_/p/DUYXBnZjszK/,,"If you’re still in your “before,” you’re not behind, you’re putting in the reps.And if this resonates, you’re in the right place.",,,"“am I ready?” “ill start anyway”
",No,"“am I ready?” “ill start anyway”
”will they like me?” “ill be fine either way”
”i avoid conflict” “i advocate for myself”
says yes out of fear vs sets boundaries for protection
",,,"strong transformation visuals support text hooks
broad enough to be relatable",23,4,i love her by vugoki,
Week 2: Creating Gabby,Lifestyle,Live,"February 4, 2026",Voiceover (https://www.notion.so/Voiceover-3105e3769cad80089cf9dad2413d9db5?pvs=21),,High,Nurture,,380,41%,59%,Instagram,https://www.instagram.com/gabby.elyse_/reel/DUW3olSj4uK/,,,22,,"Week 2 - Creating Gabby (title card)

spoken - no text - “most people think content creation’s easy but it is not”",No,,62.1%,9,"need to pull feedback from my coach on this one. i used this for a content audit

i remember her encouarging me to use the vlog template
bring viewer into my world",10,1,Evergreen by Richy Mitch & the Coal Miners https://www.instagram.com/reels/audio/193374545400363/?e=09135b9b-296e-4626-adf5-edfc388037cc&g=5,
Everything I ate in AC - vegan,Lifestyle,Live,"February 3, 2026",,,Medium,Nurture,,198,78.8%,21.2%,Instagram,https://www.instagram.com/gabby.elyse_/p/DUUcTeUDuUn/,,,,,everything i ate in atlantic city,No,,,,"carousel, canva template
3 profile visits",8,1,"Reset, restart, refocus - the cozy lofi https://www.instagram.com/reels/audio/1533417694270019?igsh=MXNhanhtZ2g5cnA0eA==",
A hard truth about corporate - hottest years,Mindset,Live,"February 2, 2026","Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21), Relatable/Entertainment (https://www.notion.so/Relatable-Entertainment-3105e3769cad805d82fdc631584da316?pvs=21)","i took the trending hook from somewhere, i forget",Low,Attract,,619,20.7%,79.3%,Instagram,https://www.instagram.com/gabby.elyse_/reel/DUSCVH6Dpwx/,,,4,,A hard truth about corporate is realizing you’re spending your hottest years replying to emails,No,,30.8%,5,"comments drew a positive reaction to relability

b roll supports pensive / revelation / shower thoughts vibe

1 save… interesting lol",1,2,,
“I’d never conform or fall in line” somehow ended up doing both,Mindset,Live,"January 31, 2026","Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21), Relatable/Entertainment (https://www.notion.so/Relatable-Entertainment-3105e3769cad805d82fdc631584da316?pvs=21)",https://www.instagram.com/barbellsandbreakdownss/reel/DUKFZ6gDXN6/,Low,Attract,,507,26.3%,73.7%,Instagram,https://www.instagram.com/gabby.elyse_/reel/DUMmnSwESH3/,,,10,,“I said I’d never conform or fall in line… and somehow i ended up doing both.”,No,,36.6%,6,"1 save

Self investment is never a waste. 2026, we’re coming for you.",11,1,Fat Lip by Sum 41 (tagged),
Sum 41 - grieved favorite bands like it was personal - 1/30,Lifestyle,Live,"January 30, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),,Low,Attract,,1027,7.3%,92.7%,Instagram,https://www.instagram.com/gabby.elyse_/reel/DUJ70kZjygW/,,,9,,"“if you’ve ever grieved the breakup of your favorite bands like it was personal, just know you’re not the only one”",No,,35.8%,6,"2 reshares

content mostly served to men, which i found interesting

hook taken from CC viral hook library",20,1,welcome to hell by sum 41 (not tagged),
leave new york - carousel,Lifestyle,Live,"January 29, 2026",,,Low,Attract,,116,91.4%,8.6%,Instagram,https://www.instagram.com/gabby.elyse_/p/DUHsk-YjnhI/,,,,,“leave new york”,No,,,,Carousel,4,,NONE - next time tag music - helps appear in Discover,
“hopping on it”,Mindset,Live,"January 28, 2026","Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21), Relatable/Entertainment (https://www.notion.so/Relatable-Entertainment-3105e3769cad805d82fdc631584da316?pvs=21)",,Low,Nurture,,214,56.2%,43.8%,Instagram,https://www.instagram.com/gabby.elyse_/reel/DUE9GcwkULL/,,,4,,text hook - 10am teams ping,No,,58.3%,7,,7,1,My Name is - Eminem,
Week 1: Creating Gabby,Lifestyle,Live,"January 26, 2026",Voiceover (https://www.notion.so/Voiceover-3105e3769cad80089cf9dad2413d9db5?pvs=21),,High,Nurture,,218,57.3%,42.7%,Instagram,https://www.instagram.com/gabby.elyse_/reel/DT_7hNuDvpX/,,,29,,"Week 1 - Creating Gabby (title card)

spoken - no text - “I know I’m not the only one who doesn’t know who they want to be when they grow up”",No,,54.7%,14,need to pull feedback from my coach on this one. i used this for the first content audit,11,5,Evergreen by Richy Mitch & the Coal Miners https://www.instagram.com/reels/audio/193374545400363/?e=09135b9b-296e-4626-adf5-edfc388037cc&g=5,
“this will get you pregnant.docx”,Mindset,Live,"January 25, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),,Low,Nurture,,13096,3%,97%,Instagram,https://www.instagram.com/gabby.elyse_/reel/DT8ynPiDxB9/,,,4,,"“when you’re 18, you’ll write a poem you’re really proud of

whatever you do, don’t name the file “this will get you pregnant.”

you’ll never find it again”",No,,26.3%,6,"sharp drop at 3s - content was readable in 3s
placement of text, centered,, with enough contrast helped

also did comparative research 
played on the age trend
more opportunities here to explore

mostly send to women - probably because of the “this will get you pregnant” messaging",13,6,hotline by billie ellish,
30 days of posting consistently,Mindset,Live,"January 25, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),,Low,Position,,701,28.1%,71.9%,Instagram,https://www.instagram.com/gabby.elyse_/reel/DT69RkHDlCy/,,"“if you’re on a similar journey, follow aloing fo rmore insights and honest creator stories”",3,,“here’s what 30 days of consistent posting really taught me”,No,,45.4%,6,,11,7,Evergreen - Richy Mitch & the Coal Miners https://www.instagram.com/reels/audio/193374545400363/?e=e873a51c-b86f-4b57-aa77-6e74e9406255&g=5,
“happy friday!” the team has changes,Lifestyle,Live,"January 23, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),,Low,Attract,,510,27.7%,72.3%,Instagram,https://www.instagram.com/gabby.elyse_/reel/DT4BzkMjt_3/,,,4,,"“happy friday! the team had some changes”
65 comments",No,,42.7%,7,"1 save

the head nodding was too exaggerated - Joe pointed it ouit

beat drop does not show a transformation
this format is really mismatched",6,6,just trust me you’ll be fine - i dont think i tagged it tho?,
Aerial Silks meme - my friends and family scrolling IG,Lifestyle,Live,"January 22, 2026",Meme (https://www.notion.so/Meme-3115e3769cad8058a7a3e0ce6b9728da?pvs=21),,Medium,,,341,19.3%,80.7%,Instagram,https://www.instagram.com/gabby.elyse_/reel/DT00YB5j8Z6/,,,4,,"“my friends and family scrolling IG”
me: [upside down on silks]",No,,55%,4,"used AI to format the meme 
learned overlay features through this post",4,1,,
pov: perfect take - didn’t hit record,Lifestyle,Live,"January 20, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),,Low,Position,,589,16.1%,83.9%,Instagram,https://www.instagram.com/gabby.elyse_/reel/DTrpDc_jvll/,,,6,,,No,,35.3%,5,,15,6,"“that..was.. rude.. that.. was pretty fricken rude” 
notsobigd.ig original audio - https://www.instagram.com/reels/audio/4074348952806398/?e=a0b6bdbe-305b-486c-bc71-fd7e0d355440&g=5",
when you follow up and end up with your mngr’s work,Lifestyle,Trial,"January 19, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),,Low,Nurture,,229,0.1%,99.9%,Instagram,https://www.instagram.com/reel/DTrlJENjrom/?igsh=YmVremsyaHllcHlq,,,6,,When you follow up for clarity and end up with middle managements tasks,No,,41.1%,8,,,,That… was… rude https://www.instagram.com/reels/audio/4074348952806398?igsh=bGN6d2w0YjJ4ZDVq,
Creator College Webinar event - Peach&Pine Appreciation photo,Lifestyle,Live,"January 17, 2026",,,Low,Nurture,2,300,30%,70%,Instagram,https://www.instagram.com/gabby.elyse_/p/DTof-U0j6XC/,,,,,,No,,,,,7,2,,
Plant Fitness keychain - Random acts of Kindness,Mindset,Live,"January 16, 2026",,,Low,Attract,,186,25%,75%,Instagram,https://www.instagram.com/gabby.elyse_/p/DTmUF4Wjisz/,,,,,,No,,,,"Photo

Didn’t get a lot of views but the caption held meaning, touched a lot of people.
Caption was on values e.g. how random acts of kindness impact others

2 profile visits also",10,2,,
Hips Key / Cupid / Secretary Seat Aerial Silks,Lifestyle,Live,"January 14, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),,Low,Nurture,1,385,28.6%,71.4%,"Facebook, Instagram",https://www.instagram.com/gabby.elyse_/reel/DThHIGlDhVK/,,,7,,,No,,48.9%,5,,9,,Cinema by Gary Go,
comment reply - dali x disney collab,Mindset,Live,"January 13, 2026",Green screen (https://www.notion.so/Green-screen-3105e3769cad805aa3c9ff15bba97f9b?pvs=21),,Medium,Attract,,1161,7.1%,92.9%,Instagram,https://www.instagram.com/gabby.elyse_/reel/DTeer6xDrwE/,,,3,,“being polite is now considered simpling?”,No,,37.7%,4,"  • reply left on viral video
  • 2 saves",8,,,
trying to figure out how to tell my cat to move,Mindset,Live,"January 12, 2026","Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21), Relatable/Entertainment (https://www.notion.so/Relatable-Entertainment-3105e3769cad805d82fdc631584da316?pvs=21)",,Low,Attract,,1156,13.1%,86.9%,Instagram,https://www.instagram.com/gabby.elyse_/reel/DTY6bvpD8Gt/,,,3,,Me trying to figure out how to nicely ask my cat to move so i can work,No,,37.7%,4,"3 reposts

Ari - good visual  hook in addition to text hook
My face added to the video
I used a filter on this also but I dont like it looking back

Caption made a funny statement about my cat moving after hearing the tagged song “move bitch”",17,1,Move Bitch by Ludacris,
Shoulder press PR 1/11,Lifestyle,Live,"January 11, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),,Low,Attract,,321,16.7%,83.3%,Instagram,https://www.instagram.com/gabby.elyse_/reel/DTY6bvpD8Gt/,,The journey continues next week. Hoping to continue this weight with adjustments next week. Follow to see how I do.,6,,,No,,54.3%,4,,2,,,
Abs - fitness 1/10/26,Lifestyle,Live,"January 10, 2026",,,Low,Attract,,412,80.8%,19.2%,Instagram,https://www.instagram.com/gabby.elyse_/p/DTWjSq4kUIY/,,,,,,No,,,,"Photo

16 profile visits LOL",3,,none - may have affected it,
the sun will rise tomorrow quote,Mindset,Live,"January 9, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),,Low,,,174,14.2%,85.8%,Instagram,https://www.instagram.com/gabby.elyse_/reel/DTT1s1LD2CZ/,,,5,,,No,,83.6%,2,,2,,What was I made for? (instrumental) by Wheeler,
Flying Gazelle Silks,Lifestyle,Live,"January 8, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),,Low,Attract,,381,73%,27%,Instagram,https://www.instagram.com/gabby.elyse_/reel/DTRmv4uDvMH/,,,3,,,No,,54.5%,4,Carousel,6,3,Ooh Ahh (My Life be Like) by officialgrits,
POV you tell your gf about your side project,Passion,Live,"January 7, 2026","Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21), Relatable/Entertainment (https://www.notion.so/Relatable-Entertainment-3105e3769cad805d82fdc631584da316?pvs=21)",,Low,Attract,,2413,8.4%,91.6%,Instagram,https://www.instagram.com/gabby.elyse_/reel/DTOwfLvjwIS/,,,5,,text - pov: you tell your girlfriend about your side project,No,,29.4%,6,"successfully targeted men experimenting with the hook messaging on trial reels

”you tell your girlfriend” is what did it 
also helps the viewer see themselves in your world?",9,,fortunate son - CCR,
Post holiday Q1 strategy,Lifestyle,Live,"January 6, 2026","Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21), Relatable/Entertainment (https://www.notion.so/Relatable-Entertainment-3105e3769cad805d82fdc631584da316?pvs=21)",,Low,Attract,,538,18.4%,81.6%,Instagram,https://www.instagram.com/gabby.elyse_/reel/DTMcSuYjvw8/,,,5,,"text hook - Me, 1 hour back from holiday break, pretending I understand the Q1 strategy",No,,32.7%,5,,4,,"Bingle Bongle Dingle Dangle, trending https://www.instagram.com/reels/audio/730957808347076/",
Cats luck Neptune city,Lifestyle,Live,"January 5, 2026",,,Low,,,178,73%,27%,Instagram,https://www.instagram.com/p/DTJR-o3j071/?igsh=NXpxdGZhMWszaGJi,,,,,,No,,,,Carousel,2,,Little Life Robert Gromotka,
2026 communication books,Lifestyle,Live,"January 4, 2026",,,Low,Attract,,157,74.5%,25.5%,Instagram,https://www.instagram.com/p/DTJR-o3j071/?igsh=NXpxdGZhMWszaGJi,,,,,I’m reading these books in 2026 so I stop saying “that’s not what I meant”,No,,,,"1 profile visit ",2,,Next chapter Gabriel Albuquerque,
Aerial silks Neptune City,Lifestyle,Live,"January 3, 2026","Talking head (https://www.notion.so/Talking-head-3105e3769cad80c59436d446356f6e64?pvs=21), Voiceover (https://www.notion.so/Voiceover-3105e3769cad80089cf9dad2413d9db5?pvs=21)",,Medium,Nurture,,368,38.9%,61.1%,Instagram,https://www.instagram.com/reel/DTD_7bJD6PA/?igsh=bzJkemFtaGt6cHFm,,,62,,"It is a brisky 32 degrees, feels like 27, in Neptune city ",No,,47.1%,15,"Attracted more women ",14,2,,1
why some women don’t like their man to have hobbies,Passion,Trial,"January 2, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),,Low,Nurture,,1989,0.1%,99.9%,Instagram,https://www.instagram.com/reel/DTB899mDpSK/?igsh=MWN1ZHoyNGE3eThkcg==,,,4,,"Yall please help me understand why some women don’t like their man to have hobbies ",No,,26%,4,,,,"elizabethbanks - “just the other day, i heard a hoe say…” https://www.instagram.com/reels/audio/25495732563451821?igsh=MWQwZHU5ZTBvbHk0ZA==",
Watching something he loved slowly disappear,Passion,Live,"January 2, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),,Low,Nurture,,2505,7.6%,92.4%,Instagram,https://www.instagram.com/reel/DTCNOGVjmRL/?igsh=MXQ2c3NoaHlndjBlOQ==,,,3,,"Watching something he loved slowly disappear changed how I see control ",No,,31.6%,5,,8,1,Just the other day I heard a hoe say https://www.instagram.com/reels/audio/25495732563451821?igsh=MWQwZHU5ZTBvbHk0ZA==,
New Years contrarian,Mindset,Live,"January 1, 2026",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),,Low,Attract,2,300,30%,70%,Instagram,https://www.instagram.com/reel/DS-4feIjzY6/?igsh=MXBnZGNxaGk5NWNqeg==,,,4,,"It’s not about what you do in January that creates change. It’s what you do all year. ",No,,38.8%,4,,3,,"astromortus original audio, trending, “it’s about keeping your world clear enough” https://www.instagram.com/reels/audio/1052630003569111?igsh=dmJ2ZWxianJibHdm",
10 year Fitness journey,Lifestyle,Live,"December 31, 2025",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),juns skyfall,High,Attract,0,469,39.7%,60.3%,Instagram,https://www.instagram.com/reel/DS6kM06jtsU/?igsh=MWlqcGg5dWt2Y2R1ZQ==,,,27,,2016 - started with 15 minutes a day,No,,44.1%,13,,19,5,Taio Cruz Like a Star,
New Year’s Eve 2026,Mindset,Live,"December 31, 2025",,,Low,Nurture,,177,,,Instagram,https://www.instagram.com/p/DS7qFtJjt_n/?igsh=bDc5emhwMndsd2sz,,,,,,No,,,,Photo,3,,Work bitch by Britney Spears,
contrarian AI talking head,Skills,Live,"December 29, 2025",Talking head (https://www.notion.so/Talking-head-3105e3769cad80c59436d446356f6e64?pvs=21),,Medium,Position,,545,33.9%,66.1%,"Facebook, Instagram",https://www.instagram.com/reel/DS23GbFj4BX/?igsh=N2JkMmRncmFrOG9k,,,16,,,No,,46.9%,9,,1,,,
Creator college creator Journey advent entry,Lifestyle,Live,"December 28, 2025",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),,High,Attract,,409,36.3%,63.7%,"Facebook, Instagram",https://www.instagram.com/reel/DSz6l5SjgMn/?igsh=MTA0enhuazgybTl0Mw==,,,,,Day 0 ”does this angle work”? “Will this flop?”,No,,,,,,,Pink panther Illegal https://www.instagram.com/reels/audio/1242537457228514?igsh=NnRzbDBtbDhvN3k=,
Financial advice from a former boss,Passion,Live,"December 27, 2025",Split Screen (https://www.notion.so/Split-Screen-2f35e3769cad8171bf1ccdef89ca350a?pvs=21),,Low,Nurture,,4013,6.9%,93.1%,"Facebook, Instagram",https://www.instagram.com/reel/DSyKV70D7lr/?igsh=cXpibm0wMzh3MWRs,,,3,,Visual text hook - “when your old boss owes millions of dollars and starts giving financial advice on LinkedIn”,No,,25.2%,5,,17,1,"“Where the fuck should I really even start” trending audio, drake happy holidays remix ",
Vegan protein,Lifestyle,Live,"December 26, 2025",Silent / b roll (https://www.notion.so/Silent-b-roll-3025e3769cad80f0b030fe6a52c68065?pvs=21),,Low,Nurture,0,2135,11.2%,88.8%,Instagram,https://www.instagram.com/reel/DSvzIyHj_LN/?igsh=MW42ZnBkcW1jbTZjeA==,,,4,,,No,,41.1%,5,,7,2,roryeliza original audio. Sounds like a clip from mean girls https://www.instagram.com/reels/audio/1055243669659646?igsh=MXV2N2ludnEwcDlvaQ==,1